Neighborhoods - Analysis Boundaries,COUNTA of Eviction ID
Mission,5546
Tenderloin,3534
Sunset/Parkside,2948
Outer Richmond,2372
Castro/Upper Market,2073
Lakeshore,2044
South of Market,1954
Nob Hill,1790
Hayes Valley,1724
Bayview Hunters Point,1487
Marina,1464
Haight Ashbury,1456
Excelsior,1431
Inner Sunset,1363
Bernal Heights,1359
Noe Valley,1321
Pacific Heights,1295
Russian Hill,1266
Inner Richmond,1256
North Beach,1094
Financial District/South Beach,1077
Oceanview/Merced/Ingleside,1013
Lone Mountain/USF,992
Western Addition,894
West of Twin Peaks,884
Outer Mission,854
Potrero Hill,627
Chinatown,626
Portola,570
Presidio Heights,551
Visitacion Valley,538
Twin Peaks,397
Glen Park,289
Mission Bay,180
Japantown,108
,98
Treasure Island,97
Seacliff,41
Lincoln Park,21
Presidio,11
Golden Gate Park,11
McLaren Park,9
Grand Total,48665
